1_clip	10_clip	11_clip	12_clip	13_clip	14_clip	15_clip	16_clip	17_clip	18_clip	19_clip	2_clip	20_clip	21_clip	22_clip	23_clip	24_clip	25_clip	26_clip	27_clip	28_clip	29_clip	3_clip	30_clip	32_clip	33_clip	34_clip	35_clip	36_clip	37_clip	38_clip	39_clip	4_clip	41_clip	42_clip	43_clip	44_clip	45_clip	46_clip	5_clip	6_clip	7_clip	8_clip	9_clip
sq48	21	13	112	66	136	99	60	72	38	21	49	15	107	70	187	69	83	57	80	84	101	10	6	610	95	59	113	135	34	45	15	15	0	129	57	53	57	82	96	2	9	1	3	1
sq49	256	17	95	134	144	76	92	90	77	47	89	266	101	102	142	62	99	111	127	106	98	0	96	0	1	0	0	0	0	0	1	0	142	1	5	0	0	6	0	106	183	71	101	64
sq50	0	0	3	6	8	3	3	0	5	1	4	1	5	5	7	3	1	3	9	2	13	1	0	81	292	193	257	522	154	196	0	0	0	161	54	94	231	229	469	0	0	0	0	0
sq51	24	0	21	46	43	54	90	74	123	128	118	18	26	25	51	49	90	112	193	227	152	0	16	0	7	4	13	24	9	15	15	2	106	61	45	43	35	82	46	71	176	129	171	250
sq52	80	10	172	289	244	146	168	116	88	57	68	80	231	182	319	105	103	111	86	43	99	0	23	3	1	2	6	3	5	1	3	1	19	21	22	21	1	5	4	17	14	4	2	2
sq53	143	19	124	88	121	68	187	142	74	62	101	164	107	61	125	83	117	132	136	124	105	0	102	0	0	0	0	0	0	1	1	0	132	0	5	1	1	0	0	100	129	38	87	35
sq54	108	1	40	62	35	31	88	50	62	75	89	92	39	35	53	24	73	43	125	141	102	0	63	0	0	5	10	11	9	8	2	0	219	14	1	2	8	17	18	141	208	213	310	220
sq55	3	0	24	43	75	59	27	38	67	21	77	0	42	22	56	33	30	59	128	81	95	2	1	159	135	104	149	86	26	35	53	20	0	329	185	119	81	147	105	3	1	1	2	3
sq56	0	0	3	11	15	5	2	7	2	1	1	2	3	4	5	3	2	5	9	3	6	1	0	141	121	254	325	177	167	262	5	6	0	78	138	49	257	217	420	0	0	0	1	0
sq57	10	0	28	36	40	93	83	126	205	114	201	5	43	41	68	84	170	121	377	325	233	0	3	0	0	0	4	7	5	2	6	2	31	1	8	6	11	21	14	23	26	32	67	32
sq58	74	11	18	43	43	17	36	42	118	47	93	138	36	19	35	24	36	106	269	106	108	0	41	0	0	0	1	1	0	1	4	0	132	0	1	2	0	0	1	165	214	136	217	185
sq59	0	1	26	25	64	23	3	5	11	4	7	1	39	19	74	7	4	14	16	13	59	4	0	184	330	191	196	274	58	74	38	0	0	213	88	59	106	135	146	1	0	0	0	1
sq60	0	0	8	9	15	4	1	1	1	3	2	0	5	3	10	2	2	4	8	6	16	3	0	198	233	173	181	436	125	120	3	2	0	112	64	94	135	160	261	1	0	1	0	0
sq61	58	13	14	34	28	18	34	34	24	29	34	123	22	19	49	21	24	26	79	68	62	0	41	6	14	12	13	53	29	33	1	0	174	9	7	12	49	43	67	85	165	152	325	235
sq62	1	1	59	66	112	33	38	56	61	24	43	7	68	42	79	39	39	51	152	93	94	0	6	23	38	48	108	145	82	117	1	1	6	53	14	28	114	84	247	0	2	5	8	11
sq63	1	0	38	64	77	32	21	35	8	12	28	2	65	25	94	32	25	47	35	33	52	0	0	38	193	196	454	91	33	61	4	1	0	202	107	98	9	32	15	0	1	0	0	0
sq64	12	0	31	52	61	110	125	126	106	78	175	16	70	36	113	83	134	110	216	168	236	1	2	24	9	4	4	13	1	2	0	1	22	3	14	0	6	3	0	13	15	12	14	15
sq65	191	29	67	80	93	42	71	47	35	35	64	188	72	63	95	33	50	68	81	63	71	0	86	0	1	0	1	0	0	0	0	1	153	0	8	0	0	0	0	82	137	56	86	60
sq66	6	1	24	20	32	78	76	123	139	116	186	6	19	12	44	42	115	82	313	253	214	1	4	0	3	8	7	13	8	3	2	0	23	2	12	4	7	9	25	26	29	30	49	43
sq67	0	0	3	2	2	1	2	1	1	0	1	0	6	0	10	0	1	1	0	1	3	2	0	135	88	54	89	231	179	166	0	0	0	45	7	65	233	184	675	0	0	0	0	0
sq68	0	0	1	1	2	0	2	2	0	0	1	0	3	0	5	0	0	0	0	0	1	0	0	66	56	57	105	267	187	188	0	0	0	9	20	65	161	542	446	0	0	0	0	0
sq69	0	0	17	9	25	8	8	4	8	4	11	2	26	6	32	8	4	5	23	10	37	0	0	32	320	148	262	259	80	92	3	2	0	154	62	54	107	109	213	0	1	0	0	0
sq70	5	0	15	46	70	24	13	19	29	19	22	3	24	35	48	9	17	43	73	33	53	0	3	69	51	92	182	131	116	222	11	3	2	55	14	22	125	111	257	2	2	4	5	5
sq71	3	15	38	28	37	12	30	21	17	11	25	8	24	15	34	10	19	22	35	20	22	8	2	504	30	28	48	11	11	21	27	21	4	268	184	171	44	131	103	1	1	1	3	3
sq72	224	103	53	71	80	36	16	19	27	14	40	286	75	59	122	31	20	44	76	54	55	0	49	0	0	0	1	0	0	0	1	4	74	0	3	3	0	0	0	34	94	60	99	65
sq73	1	0	28	42	83	69	57	104	41	20	55	0	71	26	65	54	43	40	52	53	48	3	0	59	75	75	140	75	31	45	10	1	0	184	41	70	36	68	95	0	2	0	0	0
sq74	0	0	3	7	10	2	1	7	5	3	1	3	3	4	10	3	3	3	10	5	5	0	0	16	43	84	157	193	153	225	0	0	1	47	33	43	225	237	382	0	0	0	1	1
sq75	1	0	130	114	217	71	47	68	15	12	30	1	140	69	171	51	44	59	15	24	46	7	2	50	67	100	136	20	10	14	7	2	0	42	39	59	13	17	11	1	1	0	0	0
sq76	21	0	9	17	15	26	40	48	78	78	91	20	8	8	36	16	38	70	107	122	100	0	11	1	1	15	19	17	11	17	1	1	69	18	4	19	18	30	28	59	132	114	178	187
sq77	26	1	111	183	179	112	125	68	65	28	68	24	153	84	233	73	71	85	38	22	52	0	11	0	0	0	0	3	0	0	0	1	6	0	20	5	0	0	0	1	9	1	2	4
sq78	0	0	1	2	0	0	0	0	2	2	4	0	0	0	1	2	0	1	25	12	81	0	0	0	0	1	2	38	3	7	0	0	0	44	15	47	267	724	479	0	0	1	1	0
sq79	0	0	6	9	24	4	1	18	19	3	18	0	5	7	12	3	6	10	29	17	17	2	0	156	68	68	305	100	82	199	2	0	0	62	86	81	99	95	110	0	0	0	0	0
sq80	0	0	6	12	17	6	10	4	3	2	5	0	12	11	24	5	6	12	18	7	8	0	0	47	64	68	166	151	89	136	10	0	1	65	32	61	97	106	458	0	0	0	0	0
sq81	14	0	12	16	35	27	47	58	84	50	73	20	13	14	27	31	55	84	192	152	124	2	13	1	3	8	4	14	2	8	1	0	41	3	1	8	4	8	11	39	69	83	132	128
sq82	11	0	3	5	4	5	23	18	33	37	50	19	1	3	3	6	7	22	85	49	52	0	7	0	4	10	2	7	3	3	0	0	99	1	6	1	2	5	6	79	147	207	375	299
sq83	4	0	32	40	48	72	67	59	47	41	84	14	43	29	68	49	53	57	183	108	176	0	1	6	8	16	23	75	17	17	0	1	21	14	12	13	16	15	24	15	13	44	36	32
sq84	15	0	4	21	31	47	45	55	91	74	86	18	11	18	26	38	66	97	153	124	129	1	7	0	2	7	15	2	0	10	3	0	71	1	5	0	4	5	13	43	78	76	94	103
sq85	2	0	11	37	45	19	11	32	19	9	16	1	21	17	36	9	16	30	63	17	33	4	1	139	58	93	218	68	61	141	7	1	0	100	33	62	69	75	80	0	0	0	0	0
sq86	17	1	17	61	68	24	42	53	69	59	56	22	23	40	72	15	47	64	93	82	74	0	9	1	12	30	62	59	41	57	1	0	18	14	19	42	44	61	68	13	17	16	34	33
sq87	14	1	5	17	34	16	26	33	58	57	54	19	8	18	19	9	26	58	124	93	83	0	8	6	4	9	16	28	17	26	1	4	52	5	22	10	25	42	40	47	108	90	158	153
sq88	16	0	45	71	25	46	76	26	76	67	49	6	19	22	31	14	53	55	75	141	45	0	15	21	30	39	24	42	20	22	1	2	27	18	18	26	22	60	50	4	30	45	31	56
sq89	0	0	11	13	15	6	5	0	3	3	5	1	8	9	12	1	1	5	5	1	9	2	0	351	46	63	65	131	109	70	0	0	0	38	4	45	140	75	270	0	0	0	0	0
