locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PROKKA_175001,10.58074116,-7.48899247,1.331465168,-5.62462515,1.86E-08,1.29E-06
PROKKA_102231,9.069579795,4.749291849,0.847818439,5.601779377,2.12E-08,1.45E-06
PROKKA_102232,21.82396667,7.364180656,0.972148402,7.575160998,3.59E-14,6.68E-12
PROKKA_102233,24.56433343,7.60817097,1.07199972,7.097176266,1.27E-12,1.84E-10
PROKKA_102234,133.6573045,8.433794526,0.843613358,9.997227343,1.57E-23,1.44E-20
PROKKA_102235,17.74693052,7.364490583,1.173984452,6.273073352,3.54E-10,3.38E-08
PROKKA_102236,13.42541255,6.761825347,1.097208191,6.162755077,7.15E-10,6.49E-08
PROKKA_102237,10.02873884,6.204284072,1.197599089,5.180601864,2.21E-07,1.19E-05
PROKKA_102238,24.04203483,8.434017062,1.256350737,6.71310711,1.91E-11,2.29E-09
PROKKA_102317,5.029605891,5.482853996,1.31489103,4.169816258,3.05E-05,0.000952927
PROKKA_102320,8.338469167,6.362027157,1.284092161,4.954494196,7.25E-07,3.47E-05
PROKKA_102321,20.16486653,5.785126984,0.815856577,7.09086272,1.33E-12,1.92E-10
PROKKA_102322,8.327021208,7.48739333,1.421172809,5.268460866,1.38E-07,7.78E-06
PROKKA_102323,13.95066184,6.553727736,1.046762321,6.260951131,3.83E-10,3.63E-08
PROKKA_102324,10.72553243,4.745900154,1.078983392,4.39849231,1.09E-05,0.000390005
PROKKA_102325,10.6514464,7.011016654,1.187098217,5.906012286,3.50E-09,2.85E-07
PROKKA_102326,27.14664723,5.950277384,0.769037725,7.737302338,1.02E-14,2.07E-12
PROKKA_102327,8.806244014,5.696331661,0.955475689,5.961775609,2.50E-09,2.08E-07
PROKKA_37335,17.67812277,2.280192883,0.508730137,4.482126606,7.39E-06,0.000277275
PROKKA_102430,5.164584428,5.781559018,1.323425718,4.368631301,1.25E-05,0.000439849
PROKKA_102433,14.86209457,5.567757864,0.986514101,5.643870532,1.66E-08,1.17E-06
PROKKA_102434,8.780685739,5.114368571,1.14852024,4.453006914,8.47E-06,0.000312501
PROKKA_102545,25.16484214,7.998628084,1.151904324,6.943830243,3.82E-12,5.13E-10
PROKKA_102546,15.18964767,7.259220065,1.207035038,6.014092246,1.81E-09,1.54E-07
PROKKA_102547,8.19247489,6.547732244,1.296514135,5.050259051,4.41E-07,2.23E-05
PROKKA_102549,6.416709048,6.783451863,1.360379494,4.986440839,6.15E-07,3.00E-05
PROKKA_102550,12.71724301,8.167149149,1.360161732,6.004542665,1.92E-09,1.63E-07
PROKKA_102551,7.811187222,6.058324967,1.191004729,5.086734603,3.64E-07,1.88E-05
